,DRF [DRF_1],DeepLearning [DeepLearning_grid_1],GBM [GBM_grid_1],GLM [GLM_1],XGBoost [XGBoost_grid_1],XRT [XRT_1]
DRF [DRF_1],1.0,0.8736217491481663,0.9209113696676436,0.8876457112031879,0.9014980385427256,0.8461528067633496
DeepLearning [DeepLearning_grid_1],0.8736217491481663,1.0,0.9392579068628519,0.960324490589653,0.9377359023046327,0.8192539892393437
GBM [GBM_grid_1],0.9209113696676436,0.9392579068628519,1.0,0.9579194218094428,0.974748044945235,0.8607476055391402
GLM [GLM_1],0.8876457112031879,0.960324490589653,0.9579194218094428,1.0,0.9595684591288945,0.832711043984271
XGBoost [XGBoost_grid_1],0.9014980385427256,0.9377359023046327,0.974748044945235,0.9595684591288945,1.0,0.8408089224975857
XRT [XRT_1],0.8461528067633496,0.8192539892393437,0.8607476055391402,0.832711043984271,0.8408089224975857,1.0
