feature,relative_importance
cat__term_ 60 months,361893.3125
cat__term_ 36 months,228184.703125
num__dti,167112.703125
num__fico_range_high,154369.703125
num__loan_amnt,147933.4375
num__fico_range_low,138517.28125
num__fico_avg,124826.4140625
num__credit_history_length,112466.203125
num__income_to_loan_ratio,96173.3359375
num__bc_util,92135.7578125
num__total_bc_limit,90335.2109375
num__revol_util,89014.5859375
num__total_acc,87424.484375
num__open_acc,83533.0390625
num__num_rev_accts,82943.6875
num__bc_open_to_buy,82666.2734375
num__percent_bc_gt_75,82369.7890625
num__tot_hi_cred_lim,81279.5859375
num__annual_inc,81138.578125
num__num_bc_tl,80936.125
