feature,relative_importance
num__loan_amnt,2203.380126953125
cat__term_ 36 months,1986.23828125
num__credit_history_length,1872.480224609375
num__fico_range_low,1675.025146484375
num__bc_util,1631.7510986328125
num__dti,1608.3861083984375
num__revol_util,1582.3060302734375
num__total_acc,1541.755615234375
num__num_rev_accts,1495.6304931640625
num__fico_avg,1488.02587890625
num__bc_open_to_buy,1474.5919189453125
cat__term_ 60 months,1465.8675537109375
num__num_bc_tl,1437.1805419921875
num__fico_range_high,1431.033935546875
num__num_il_tl,1425.1220703125
num__open_acc,1410.4083251953125
num__total_bc_limit,1403.3770751953125
num__tot_hi_cred_lim,1386.95751953125
num__num_rev_tl_bal_gt_0,1285.110107421875
num__percent_bc_gt_75,1264.2357177734375
