feature,relative_importance
num__fico_spread,1.0
cat__purpose_renewable_energy,0.9427207708358765
cat__addr_state_DC,0.8607226014137268
cat__addr_state_AK,0.8577961921691895
cat__addr_state_VT,0.8049253821372986
cat__addr_state_ND,0.7776919603347778
cat__addr_state_RI,0.758003830909729
cat__addr_state_MT,0.7543928623199463
cat__addr_state_NH,0.7303492426872253
cat__addr_state_WY,0.6916917562484741
num__income_to_loan_ratio,0.6752129793167114
cat__addr_state_SD,0.6722138524055481
cat__addr_state_NE,0.6682138442993164
cat__addr_state_MA,0.6538717746734619
cat__addr_state_SC,0.6537078022956848
cat__addr_state_WV,0.6397359371185303
num__inq_last_6mths,0.6387149691581726
cat__purpose_house,0.6385231018066406
cat__addr_state_NM,0.6223567724227905
num__dti,0.6120027899742126
