,DRF [DRF_1],DeepLearning [DeepLearning_1],GBM [GBM_3],GLM [GLM_1],XGBoost [XGBoost_3],XRT [XRT_1]
DRF [DRF_1],1.0,0.8780247785708903,0.922123804949715,0.9027525648116105,0.8990102687292559,0.9086783885688954
DeepLearning [DeepLearning_1],0.8780247785708903,1.0,0.9063300353826924,0.9320018047654481,0.8808467875308204,0.8336982775172841
GBM [GBM_3],0.922123804949715,0.9063300353826924,1.0,0.9267894643357358,0.9287095655214694,0.8703406143349597
GLM [GLM_1],0.9027525648116105,0.9320018047654481,0.9267894643357358,1.0,0.9032678038709157,0.8609094236945836
XGBoost [XGBoost_3],0.8990102687292559,0.8808467875308204,0.9287095655214694,0.9032678038709157,1.0,0.8917840111361536
XRT [XRT_1],0.9086783885688954,0.8336982775172841,0.8703406143349597,0.8609094236945836,0.8917840111361536,1.0
