threshold,precision,recall,tpr,fpr,specificity,f1
0.0000,0.220569,1.000000,1.000000,1.000000,0.000000,0.361420
0.0100,0.220575,1.000000,1.000000,0.999965,0.000035,0.361428
0.0200,0.222633,0.999376,0.999376,0.987486,0.012514,0.364145
0.0300,0.228439,0.995704,0.995704,0.951693,0.048307,0.371619
0.0400,0.234994,0.989466,0.989466,0.911537,0.088463,0.379790
0.0500,0.241408,0.980251,0.980251,0.871684,0.128316,0.387409
0.0600,0.248179,0.968700,0.968700,0.830434,0.169566,0.395127
0.0700,0.255580,0.954316,0.954316,0.786591,0.213409,0.403182
0.0800,0.263684,0.936492,0.936492,0.740034,0.259966,0.411502
0.0900,0.272124,0.914996,0.914996,0.692590,0.307410,0.419490
0.1000,0.280459,0.889703,0.889703,0.645947,0.354053,0.426480
0.1100,0.289060,0.863305,0.863305,0.600864,0.399136,0.433104
0.1200,0.297426,0.833342,0.833342,0.557061,0.442939,0.438388
0.1300,0.306520,0.803968,0.803968,0.514731,0.485269,0.443827
0.1400,0.315054,0.772116,0.772116,0.475029,0.524971,0.447507
0.1500,0.323730,0.738695,0.738695,0.436684,0.563316,0.450174
0.1600,0.332110,0.703224,0.703224,0.400206,0.599794,0.451154
0.1700,0.341110,0.668752,0.668752,0.365553,0.634447,0.451780
0.1800,0.349546,0.633193,0.633193,0.333438,0.666562,0.450435
0.1900,0.359131,0.599576,0.599576,0.302780,0.697220,0.449201
0.2000,0.367965,0.564497,0.564497,0.274387,0.725613,0.445520
0.2100,0.376569,0.530007,0.530007,0.248309,0.751691,0.440303
0.2200,0.384071,0.495624,0.495624,0.224925,0.775075,0.432775
0.2300,0.392200,0.462631,0.462631,0.202887,0.797113,0.424514
0.2400,0.401525,0.432758,0.432758,0.182534,0.817466,0.416557
0.2500,0.408534,0.401886,0.401886,0.164653,0.835347,0.405183
0.2600,0.415875,0.374668,0.374668,0.148921,0.851079,0.394198
0.2700,0.423839,0.349411,0.349411,0.134414,0.865586,0.383043
0.2800,0.429945,0.324403,0.324403,0.121718,0.878282,0.369791
0.2900,0.436185,0.301535,0.301535,0.110298,0.889702,0.356572
