threshold,precision,recall,tpr,fpr,specificity,f1
0.0000,0.220569,1.000000,1.000000,1.000000,0.000000,0.361420
0.0100,0.222957,0.998111,0.998111,0.984394,0.015606,0.364494
0.0200,0.227768,0.994385,0.994385,0.954059,0.045941,0.370640
0.0300,0.233245,0.987523,0.987523,0.918665,0.081335,0.377361
0.0400,0.238855,0.978343,0.978343,0.882246,0.117754,0.383968
0.0500,0.244719,0.967702,0.967702,0.845178,0.154822,0.390649
0.0600,0.250635,0.953425,0.953425,0.806686,0.193314,0.396926
0.0700,0.257083,0.937080,0.937080,0.766319,0.233681,0.403475
0.0800,0.263776,0.917794,0.917794,0.724912,0.275088,0.409781
0.0900,0.271077,0.896726,0.896726,0.682360,0.317640,0.416307
0.1000,0.279208,0.873875,0.873875,0.638406,0.361594,0.423201
0.1100,0.287003,0.846336,0.846336,0.594992,0.405008,0.428646
0.1200,0.295043,0.814591,0.814591,0.550786,0.449214,0.433187
0.1300,0.303786,0.782275,0.782275,0.507342,0.492658,0.437626
0.1400,0.311904,0.747001,0.747001,0.466354,0.533646,0.440063
0.1500,0.319972,0.710693,0.710693,0.427429,0.572571,0.441272
0.1600,0.328188,0.674955,0.674955,0.390990,0.609010,0.441636
0.1700,0.335813,0.639752,0.639752,0.358073,0.641927,0.440436
0.1800,0.342742,0.606688,0.606688,0.329231,0.670769,0.438026
0.1900,0.348882,0.575531,0.575531,0.303960,0.696040,0.434421
0.2000,0.354672,0.546513,0.546513,0.281398,0.718602,0.430173
0.2100,0.360131,0.520204,0.520204,0.261560,0.738440,0.425614
0.2200,0.365185,0.496658,0.496658,0.244319,0.755681,0.420894
0.2300,0.369279,0.473290,0.473290,0.228758,0.771242,0.414865
0.2400,0.373462,0.452418,0.452418,0.214786,0.785214,0.409166
0.2500,0.377555,0.433863,0.433863,0.202413,0.797587,0.403755
0.2600,0.381838,0.416181,0.416181,0.190665,0.809335,0.398270
0.2700,0.384990,0.398660,0.398660,0.180219,0.819781,0.391706
0.2800,0.388395,0.381923,0.381923,0.170192,0.829808,0.385132
