,DRF [DRF_1],DeepLearning [DeepLearning_grid_1],GBM [GBM_2],GLM [GLM_1],XGBoost [XGBoost_grid_1],XRT [XRT_1]
DRF [DRF_1],1.0,0.8379034471536917,0.9433563432016191,0.907632872412877,0.9229064935594848,0.8436485715941684
DeepLearning [DeepLearning_grid_1],0.8379034471536917,1.0,0.8697118650916148,0.8937340228462356,0.8700385319939495,0.7345345876698314
GBM [GBM_2],0.9433563432016191,0.8697118650916148,1.0,0.9393621975778427,0.9772716986281426,0.803063697695609
GLM [GLM_1],0.907632872412877,0.8937340228462356,0.9393621975778427,1.0,0.9289796177434283,0.7935460956622151
XGBoost [XGBoost_grid_1],0.9229064935594848,0.8700385319939495,0.9772716986281426,0.9289796177434283,1.0,0.7762524284830546
XRT [XRT_1],0.8436485715941684,0.7345345876698314,0.803063697695609,0.7935460956622151,0.7762524284830546,1.0
