,DRF [DRF_1],DeepLearning [DeepLearning_grid_1],GBM [GBM_3],GLM [GLM_1],XRT [XRT_1]
DRF [DRF_1],1.0,0.818438184024845,0.8961276865938199,0.8579143840586061,0.843053339234497
DeepLearning [DeepLearning_grid_1],0.818438184024845,1.0,0.8876480527831587,0.9276125110924699,0.7257922095946995
GBM [GBM_3],0.8961276865938199,0.8876480527831587,1.0,0.8958809605847194,0.7956237921546415
GLM [GLM_1],0.8579143840586061,0.9276125110924699,0.8958809605847194,1.0,0.7707390637721883
XRT [XRT_1],0.843053339234497,0.7257922095946995,0.7956237921546415,0.7707390637721883,1.0
