threshold,precision,recall
,0.22056880907075124,1.0
0.007592965002805,0.22056967623990092,1.0
0.0079136768437028,0.2205705434158692,1.0
0.0080576031000904,0.2205714105986562,1.0
0.008666681062694,0.22057227778826194,1.0
0.0087915343805748,0.22057314498468653,1.0
0.0089974744589873,0.22057401218793002,1.0
0.0093530293285812,0.22057487939799253,1.0
0.0093827164101548,0.2205757466148741,1.0
0.0094824635547414,0.22057661383857485,1.0
0.0095186680945385,0.22057748106909486,1.0
0.0096596596397617,0.22057834830643416,1.0
0.0098941627051924,0.2205792155505929,1.0
0.0099825102689049,0.2205800828015711,1.0
0.0100014479394231,0.22058095005936887,1.0
0.0100074466085343,0.2205818173239863,1.0
0.0100356503002154,0.22058268459542346,1.0
0.0100673502859054,0.2205835518736804,1.0
0.0100715209217466,0.22058441915875723,1.0
0.0101557279826684,0.22058528645065406,1.0
0.0102156741593616,0.2205861537493709,1.0
0.0102246689509015,0.2205870210549079,1.0
0.0102795954448311,0.2205878883672651,1.0
0.010330246277534,0.22058875568644257,1.0
0.0104037464556467,0.22058962301244042,1.0
0.01040796756793,0.22059049034525874,1.0
0.0104139978013292,0.22059135768489757,1.0
0.0104141297134051,0.22059222503135703,1.0
0.0104640054575162,0.22059309238463717,1.0
0.0105074850962653,0.22059395974473808,1.0
0.0105246370411436,0.22059482711165984,1.0
0.0105503548373166,0.22059569448540253,1.0
0.010573834890333,0.22059656186596624,1.0
0.010678819317014,0.22059742925335105,1.0
0.0107807774389555,0.22059829664755704,1.0
0.0108151959704355,0.22059916404858426,1.0
0.0108276660298418,0.22060003145643284,1.0
0.0109552279945661,0.22060089887110282,1.0
0.0109739307369616,0.22060176629259431,1.0
0.0110191233898307,0.22060263372090738,1.0
0.0111035662261162,0.22060350115604208,1.0
0.0111156171368698,0.22060436859799853,1.0
0.0111215749553399,0.22060523604677681,1.0
0.0111539195556346,0.220606103502377,1.0
0.0111647094798008,0.22060697096479914,1.0
0.0112170511734328,0.22060783843404336,1.0
0.0112200388947928,0.2206087059101097,1.0
0.0112350448345323,0.22060957339299828,1.0
