threshold,precision,recall
,0.14857142857142858,1.0
3.2507027950604573e-18,0.14942528735632185,1.0
8.803105856930037e-17,0.15028901734104047,1.0
1.4142979792936037e-15,0.1511627906976744,1.0
1.511754456657543e-15,0.15204678362573099,1.0
2.508900716778616e-15,0.15294117647058825,1.0
5.213442655811218e-15,0.15384615384615385,1.0
6.0033125154995506e-15,0.15476190476190477,1.0
8.122202045568802e-15,0.15568862275449102,1.0
9.930259251864227e-15,0.1566265060240964,1.0
1.6541795654201834e-14,0.15757575757575756,1.0
2.6858418578194073e-14,0.15853658536585366,1.0
3.1255629067925274e-14,0.15950920245398773,1.0
3.851098276717442e-14,0.16049382716049382,1.0
7.515350599154443e-14,0.15527950310559005,0.9615384615384616
1.543976038391195e-13,0.15625,0.9615384615384616
1.7237498562125682e-13,0.15723270440251572,0.9615384615384616
2.419108433778008e-13,0.1518987341772152,0.9230769230769231
2.976634498695846e-13,0.15286624203821655,0.9230769230769231
3.590915962525588e-13,0.15384615384615385,0.9230769230769231
5.763085376621826e-13,0.15483870967741936,0.9230769230769231
7.216273213760995e-13,0.15584415584415584,0.9230769230769231
1.01158398819624e-12,0.1568627450980392,0.9230769230769231
6.6657501160534645e-12,0.15789473684210525,0.9230769230769231
7.024150383798922e-12,0.15894039735099338,0.9230769230769231
9.053622407098484e-12,0.16,0.9230769230769231
1.7626285833807162e-11,0.1610738255033557,0.9230769230769231
1.8697029715634753e-11,0.16216216216216217,0.9230769230769231
2.277442524270281e-11,0.16326530612244897,0.9230769230769231
3.104248819822971e-11,0.1643835616438356,0.9230769230769231
3.370764486187557e-11,0.16551724137931034,0.9230769230769231
5.2764432026957054e-11,0.16666666666666666,0.9230769230769231
8.615737373378624e-11,0.16783216783216784,0.9230769230769231
2.0769813134559803e-10,0.16901408450704225,0.9230769230769231
2.1498266797999144e-10,0.1702127659574468,0.9230769230769231
2.5269382998177146e-10,0.17142857142857143,0.9230769230769231
4.731531719426402e-10,0.17266187050359713,0.9230769230769231
5.301967709992813e-10,0.17391304347826086,0.9230769230769231
5.613573410571442e-10,0.1678832116788321,0.8846153846153846
1.9376987244611142e-09,0.16911764705882354,0.8846153846153846
2.337203432399141e-09,0.17037037037037037,0.8846153846153846
2.5273691800074903e-09,0.17164179104477612,0.8846153846153846
2.584603745789235e-09,0.16541353383458646,0.8461538461538461
3.187821596038788e-09,0.16666666666666666,0.8461538461538461
3.3099465791498083e-09,0.16793893129770993,0.8461538461538461
5.179559282916212e-09,0.16923076923076924,0.8461538461538461
7.326166422588919e-09,0.17054263565891473,0.8461538461538461
9.578592451307052e-09,0.171875,0.8461538461538461
1.1519691093816506e-08,0.1732283464566929,0.8461538461538461
1.2114935731791485e-08,0.1746031746031746,0.8461538461538461
1.3891745962669838e-08,0.176,0.8461538461538461
1.7288805477360916e-08,0.1774193548387097,0.8461538461538461
1.7614324929042183e-08,0.17886178861788618,0.8461538461538461
1.7819408426301518e-08,0.18032786885245902,0.8461538461538461
1.9158446224218e-08,0.18181818181818182,0.8461538461538461
2.6516642234500615e-08,0.175,0.8076923076923077
2.847528890797355e-08,0.17647058823529413,0.8076923076923077
5.7376936756061745e-08,0.17796610169491525,0.8076923076923077
6.027138699543526e-08,0.1794871794871795,0.8076923076923077
6.300611168683417e-08,0.1810344827586207,0.8076923076923077
6.925582735241228e-08,0.1826086956521739,0.8076923076923077
9.127782972318775e-08,0.18421052631578946,0.8076923076923077
9.514290766577645e-08,0.18584070796460178,0.8076923076923077
9.574267514862148e-08,0.1875,0.8076923076923077
1.1332180903579045e-07,0.1891891891891892,0.8076923076923077
1.4042616379661066e-07,0.19090909090909092,0.8076923076923077
2.2397397217269977e-07,0.1926605504587156,0.8076923076923077
