,DRF [DRF_1],DeepLearning [DeepLearning_grid_1],GBM [GBM_2],GLM [GLM_1],XGBoost [XGBoost_3],XRT [XRT_1]
DRF [DRF_1],1.0,0.82087853399368,0.8939318295283704,0.8591772599848124,0.8438310063270816,0.8282164897667634
DeepLearning [DeepLearning_grid_1],0.82087853399368,1.0,0.8880247362723117,0.9464590212495384,0.8403081752534929,0.7243257760420602
GBM [GBM_2],0.8939318295283704,0.8880247362723117,1.0,0.9028858499472882,0.9277210216228579,0.7857458942135647
GLM [GLM_1],0.8591772599848124,0.9464590212495384,0.9028858499472882,1.0,0.8578473963079964,0.7605591082606052
XGBoost [XGBoost_3],0.8438310063270816,0.8403081752534929,0.9277210216228579,0.8578473963079964,1.0,0.7957907243239972
XRT [XRT_1],0.8282164897667634,0.7243257760420602,0.7857458942135647,0.7605591082606052,0.7957907243239972,1.0
