model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse
DeepLearning_grid_3_AutoML_1_20250929_45334_model_7,0.8935749052427692,0.7215852594152349,0.4895634383525958,0.4759616397819646,0.4001341130299162,0.1601073084102377
DeepLearning_grid_3_AutoML_1_20250929_45334_model_33,0.8933968804420684,0.7210598113083995,0.4817518326387111,0.4783017067866955,0.3960308021795556,0.1568403962749823
DeepLearning_grid_3_AutoML_1_20250929_45334_model_45,0.8933111230603341,0.7212620967367963,0.5020956399034734,0.4735913161689182,0.4060006127313679,0.1648364975382462
DeepLearning_grid_1_AutoML_1_20250929_45334_model_85,0.8933051131345919,0.719904389423455,0.4857149727892588,0.4809499037068939,0.3965208044869778,0.157228748391
DeepLearning_grid_1_AutoML_1_20250929_45334_model_45,0.8932367587368221,0.7195247513421246,0.5620064900824367,0.5,0.3991807729795081,0.1593452895165176
DeepLearning_grid_2_AutoML_1_20250929_45334_model_1,0.8931302864021545,0.7203850424717319,0.4954255863736721,0.4745624577268639,0.399030108826605,0.1592250277501722
DeepLearning_grid_2_AutoML_1_20250929_45334_model_7,0.8931101291918516,0.7209594993161326,0.4899055356902571,0.4817787150925443,0.4002560995183813,0.1602049452016684
DeepLearning_grid_3_AutoML_1_20250929_45334_model_72,0.8931020952401754,0.7210027821140483,0.4810640226531965,0.4805177077587426,0.3948741831238356,0.1559256204977165
DeepLearning_grid_3_AutoML_1_20250929_45334_model_28,0.8929537212969656,0.7205530204149881,0.4879832255711444,0.480591569225628,0.3992005105604859,0.1593610476317526
DeepLearning_grid_3_AutoML_1_20250929_45334_model_1,0.8929438819191996,0.7201899833617782,0.4933738274058997,0.4790456838522993,0.3991164860837018,0.1592939694638017
DeepLearning_grid_1_AutoML_1_20250929_45334_model_36,0.8928131446983174,0.7200502776885062,0.4949333932562209,0.4799384530791492,0.3997141286728693,0.1597713846607111
DeepLearning_grid_1_AutoML_1_20250929_45334_model_74,0.8927761141939102,0.7215989379947991,0.4963275877670202,0.4673014877807256,0.3972191644555949,0.157783064610801
DeepLearning_grid_1_AutoML_1_20250929_45334_model_28,0.8927564631638373,0.7208397774543452,0.4877598391600828,0.476867261139744,0.39753207641583,0.1580317517794813
DeepLearning_grid_1_AutoML_1_20250929_45334_model_87,0.8927395030209836,0.7185880585313064,0.4975063792048221,0.4789552501933606,0.4011137546108426,0.1608922441380072
DeepLearning_grid_1_AutoML_1_20250929_45334_model_7,0.8926864046712102,0.7189022270666704,0.4843554091910853,0.4777401816329759,0.396561631517819,0.1572611275920744
DeepLearning_grid_3_AutoML_1_20250929_45334_model_41,0.892592169836268,0.719465562013659,0.4811289175612485,0.4760435255967678,0.3949939302040233,0.1560202048980208
DeepLearning_1_AutoML_1_20250929_45334,0.8925724999614735,0.7192944315586691,0.4823403055004071,0.4795317244507142,0.3955960006538054,0.1564961957332856
DeepLearning_grid_3_AutoML_1_20250929_45334_model_29,0.8925209685484362,0.7189886932301833,0.4848957247562516,0.4772776794645766,0.3971656318479664,0.1577405391211943
DeepLearning_grid_3_AutoML_1_20250929_45334_model_17,0.8925151103733664,0.7191287951735549,0.5010303494742792,0.4772148404627849,0.4040090021800949,0.1632232738425559
DeepLearning_grid_2_AutoML_1_20250929_45334_model_45,0.8924444921288207,0.7200416507015259,0.4852149103132357,0.475323602327711,0.3974933909357042,0.1580009958375646
DeepLearning_grid_2_AutoML_1_20250929_45334_model_16,0.8924404851668851,0.7195905169615425,0.4944912903184139,0.480453761035063,0.4021939205354733,0.1617599497156946
DeepLearning_grid_2_AutoML_1_20250929_45334_model_24,0.892439660025435,0.7191884492838364,0.4873609806349072,0.4735176723969691,0.3964812380323421,0.1571973721116587
DeepLearning_grid_2_AutoML_1_20250929_45334_model_76,0.8924167609255712,0.7201100190713189,0.4858153026788475,0.4747311867280733,0.396919409390384,0.1575450175508113
DeepLearning_grid_3_AutoML_1_20250929_45334_model_22,0.8924106985876478,0.7189068502873162,0.4926013488382841,0.4766696120645634,0.4001914683525336,0.1601532113421569
DeepLearning_grid_2_AutoML_1_20250929_45334_model_17,0.8923990982248307,0.7191325337175556,0.5037944043284275,0.4803114004980415,0.4060431269435862,0.1648710209381252
DeepLearning_grid_3_AutoML_1_20250929_45334_model_76,0.8923770307045947,0.720175452276892,0.4824312629396161,0.4721455422555914,0.3962773864721203,0.1570357670291741
DeepLearning_grid_3_AutoML_1_20250929_45334_model_34,0.8923444223808781,0.7199717060063819,0.4894255508235765,0.4802993887821311,0.3998250361681441,0.1598600595468577
DeepLearning_grid_2_AutoML_1_20250929_45334_model_73,0.8923318561457594,0.7190562438369038,0.4814003177951295,0.4842323987730156,0.3954756535018668,0.1564009925127286
DeepLearning_grid_2_AutoML_1_20250929_45334_model_60,0.8923195298203261,0.7191984282307196,0.4873757585151075,0.4798502541111926,0.39728093765764,0.1578321434261337
DeepLearning_grid_1_AutoML_1_20250929_45334_model_43,0.8923020179629407,0.7193788566844994,0.5006293811791795,0.4779237220195416,0.4004036988736286,0.1603231220716834
DeepLearning_grid_2_AutoML_1_20250929_45334_model_78,0.8922387556532295,0.7187332802315557,0.5017710624392313,0.4779568582739618,0.4037551035874774,0.1630181836729346
DeepLearning_grid_2_AutoML_1_20250929_45334_model_2,0.8921802526745444,0.7190902017455283,0.4846030430322178,0.4728463498524979,0.3962330558898005,0.1570006345797698
DeepLearning_grid_1_AutoML_1_20250929_45334_model_16,0.8921767412737763,0.717611729608065,0.5652406210750418,0.5,0.4009048343597135,0.1607246862129893
DeepLearning_grid_2_AutoML_1_20250929_45334_model_9,0.8921460519121627,0.7189315091548831,0.4860343947841515,0.4777483740638975,0.3977668703438117,0.1582184831431106
DeepLearning_grid_2_AutoML_1_20250929_45334_model_85,0.8921079036914898,0.7188931256395289,0.5098090675561423,0.4760269726519208,0.4093058671666822,0.1675312928970697
DeepLearning_grid_3_AutoML_1_20250929_45334_model_30,0.8920964394138576,0.7183880336421254,0.4821986098708266,0.4774314178799058,0.3956188577930338,0.1565142806414647
DeepLearning_grid_3_AutoML_1_20250929_45334_model_25,0.8920772635903912,0.7194751115463364,0.4853268548880778,0.4849718842216153,0.3967334662310172,0.1573974432276776
DeepLearning_grid_3_AutoML_1_20250929_45334_model_43,0.8919783623840598,0.7186584363928191,0.4971882831856583,0.4844181161089447,0.4023899806408771,0.1619176965201655
DeepLearning_grid_2_AutoML_1_20250929_45334_model_22,0.891958392003562,0.7185975087011498,0.4875989563107681,0.4862398274286533,0.3970647684596142,0.1576604303518871
DeepLearning_grid_3_AutoML_1_20250929_45334_model_48,0.8919356541413387,0.7172457986644281,0.5042300044045546,0.5,0.4006795246747257,0.160544081493564
DeepLearning_grid_1_AutoML_1_20250929_45334_model_100,0.8919045123177866,0.7196584922575229,0.4843811258376119,0.4749548681014341,0.3962492230027197,0.157013446730259
DeepLearning_grid_3_AutoML_1_20250929_45334_model_2,0.8919016871923929,0.7190873388451879,0.493540765589425,0.4792322912151798,0.401047451686868,0.1608390585045307
DeepLearning_grid_3_AutoML_1_20250929_45334_model_44,0.891880333410594,0.7187142188267994,0.5178281005466931,0.4737290555003445,0.4121620084857135,0.1698775212389774
DeepLearning_grid_3_AutoML_1_20250929_45334_model_73,0.8918211470644271,0.7189720042346867,0.4888348992154671,0.4833016655087339,0.3995552966410622,0.1596444350739272
DeepLearning_grid_3_AutoML_1_20250929_45334_model_11,0.8918147172638742,0.7180408249494039,0.4842840192155479,0.4879589334201954,0.3968850994792971,0.1575177821886916
DeepLearning_grid_1_AutoML_1_20250929_45334_model_83,0.8917755428297148,0.7199352665978337,0.495130875256615,0.4762992355026609,0.398127084640964,0.1585051755247133
DeepLearning_grid_2_AutoML_1_20250929_45334_model_87,0.8917466584162397,0.7187865162670899,0.4996157069566589,0.4851888777814025,0.4042931717286818,0.1634529687064374
DeepLearning_grid_2_AutoML_1_20250929_45334_model_30,0.8917233148156811,0.7170807569971434,0.4821769066659442,0.4842768247993984,0.3956435893040124,0.156533849757362
DeepLearning_grid_1_AutoML_1_20250929_45334_model_20,0.8917203828684297,0.7209753745091734,0.4813872234481385,0.4689453572766256,0.3946677367846554,0.155762622458722
DeepLearning_grid_3_AutoML_1_20250929_45334_model_5,0.8916823157233149,0.718536842827074,0.4824241768163078,0.4819677667116569,0.395459318491793,0.1563880725819934
DeepLearning_grid_1_AutoML_1_20250929_45334_model_25,0.8916395224086024,0.7177144115776342,0.505704117157175,0.5,0.4015367725201328,0.1612317796858849
