epoch,loss,val_loss
1,0.6629330442415337,0.6090845448060808
2,0.6211350342179338,0.5966469636182914
3,0.5976453691271226,0.5825735224727129
4,0.5723527251489905,0.5712929311339047
5,0.5606748332302754,0.5493872560111016
6,0.5425340983445993,0.5476971938979662
7,0.5204172908981541,0.528362616890159
8,0.5012803493979026,0.5159985329138937
9,0.48251509562906414,0.49274266695282637
10,0.4649762443954659,0.4913324339463304
11,0.4445732111470628,0.47962694376694137
12,0.4290656063452099,0.46921515472547104
13,0.4095278099679155,0.45730995171700567
14,0.39355295392437023,0.4267568855610714
15,0.38897084269639065,0.43876307232194606
16,0.3722256958264635,0.4215519655620436
17,0.35711750198220754,0.4066278663760312
18,0.3437502608180447,0.4126525278511743
19,0.33343010860304273,0.3977499425902969
20,0.3236106650317586,0.3903890964108035
21,0.30723507216538143,0.3979111021102329
22,0.30806936365866194,0.39419361259230207
23,0.3014974776760994,0.37587149232250683
24,0.2907741310418901,0.37989946441499245
25,0.28035311192685003,0.39540965008155915
26,0.271909115742801,0.35188666054646556
27,0.260308222718405,0.37575404114998584
28,0.26853415543734604,0.3605602948990688
29,0.24691866033467572,0.35653052861101464
