feature,relative_importance
num__int_rate,29269.00390625
cat__grade_A,19076.767578125
cat__term_ 60 months,15458.353515625
cat__term_ 36 months,14286.5107421875
num__loan_amnt,11722.8955078125
num__credit_history_length,11680.376953125
num__installment,11330.4814453125
num__revol_util,11097.1552734375
num__fico_range_high,10384.8076171875
num__dti,10082.482421875
num__bc_util,10044.818359375
num__fico_range_low,9879.9287109375
num__num_rev_accts,9857.72265625
num__num_bc_tl,9659.9765625
num__open_acc,9648.361328125
num__fico_avg,9615.93359375
num__total_acc,9421.548828125
num__num_actv_rev_tl,8978.359375
cat__grade_B,8434.9638671875
num__percent_bc_gt_75,8352.529296875
