feature,relative_importance
cat__term_ 60 months,379.142333984375
num__dti,269.7193298339844
cat__term_ 36 months,217.5681915283203
num__fico_avg,166.12489318847656
num__fico_range_high,164.95899963378906
num__inq_last_6mths,86.32347869873047
cat__home_ownership_MORTGAGE,84.67599487304688
num__loan_amnt,78.42166137695312
num__fico_range_low,74.794921875
num__revol_bal,68.75263977050781
num__credit_history_length,50.44451904296875
cat__verification_status_Verified,25.176815032958984
cat__addr_state_OK,23.541645050048828
cat__purpose_debt_consolidation,22.340579986572266
cat__home_ownership_RENT,20.330778121948242
cat__verification_status_Not Verified,19.38480567932129
cat__purpose_credit_card,14.374963760375977
cat__home_ownership_OWN,8.22323989868164
cat__addr_state_KY,5.840088844299316
cat__addr_state_MD,5.226485252380371
