,DRF [DRF_1],DeepLearning [DeepLearning_grid_1],GBM [GBM_grid_1],GLM [GLM_1],XGBoost [XGBoost_grid_1],XRT [XRT_1]
DRF [DRF_1],1.0,0.7743479662737848,0.8676150420619295,0.809047356854866,0.8410282643210715,0.753142910177688
DeepLearning [DeepLearning_grid_1],0.7743479662737848,1.0,0.8499287214527302,0.9231046554067315,0.8494813408150512,0.7196229370556951
GBM [GBM_grid_1],0.8676150420619295,0.8499287214527302,1.0,0.879574416603784,0.938012254526168,0.80361431504946
GLM [GLM_1],0.809047356854866,0.9231046554067315,0.879574416603784,1.0,0.8810860827547783,0.8028915672839542
XGBoost [XGBoost_grid_1],0.8410282643210715,0.8494813408150512,0.938012254526168,0.8810860827547783,1.0,0.7789141452289529
XRT [XRT_1],0.753142910177688,0.7196229370556951,0.80361431504946,0.8028915672839542,0.7789141452289529,1.0
