threshold,precision,recall,tpr,fpr,specificity,f1
0.0000,0.220569,1.000000,1.000000,1.000000,0.000000,0.361420
0.0100,0.222347,0.998182,0.998182,0.987940,0.012060,0.363683
0.0200,0.226368,0.994189,0.994189,0.961514,0.038486,0.368770
0.0300,0.230739,0.987683,0.987683,0.931830,0.068170,0.374086
0.0400,0.235390,0.979431,0.979431,0.900309,0.099691,0.379559
0.0500,0.240390,0.969592,0.969592,0.867018,0.132982,0.385263
0.0600,0.245472,0.956455,0.956455,0.831962,0.168038,0.390678
0.0700,0.250841,0.940609,0.940609,0.794969,0.205031,0.396061
0.0800,0.257075,0.922892,0.922892,0.754748,0.245252,0.402134
0.0900,0.263022,0.900415,0.900415,0.713956,0.286044,0.407120
0.1000,0.269699,0.876281,0.876281,0.671480,0.328520,0.412454
0.1100,0.276900,0.850044,0.850044,0.628177,0.371823,0.417727
0.1200,0.284045,0.818067,0.818067,0.583517,0.416483,0.421677
0.1300,0.291928,0.784860,0.784860,0.538716,0.461284,0.425567
0.1400,0.299829,0.748463,0.748463,0.494615,0.505385,0.428145
0.1500,0.308485,0.710461,0.710461,0.450687,0.549313,0.430183
0.1600,0.316934,0.670000,0.670000,0.408634,0.591366,0.430314
0.1700,0.324995,0.628932,0.628932,0.369659,0.630341,0.428544
0.1800,0.332954,0.589755,0.589755,0.334356,0.665644,0.425619
0.1900,0.340164,0.551218,0.551218,0.302578,0.697422,0.420705
0.2000,0.347263,0.515463,0.515463,0.274185,0.725815,0.414966
0.2100,0.353659,0.482256,0.482256,0.249414,0.750586,0.408066
0.2200,0.360497,0.451901,0.451901,0.226857,0.773143,0.401057
0.2300,0.366495,0.423863,0.423863,0.207336,0.792664,0.393097
0.2400,0.372197,0.397911,0.397911,0.189934,0.810066,0.384625
0.2500,0.376588,0.371977,0.371977,0.174257,0.825743,0.374268
0.2600,0.382621,0.350445,0.350445,0.160018,0.839982,0.365827
0.2700,0.387883,0.329109,0.329109,0.146974,0.853026,0.356087
0.2800,0.393377,0.309146,0.309146,0.134908,0.865092,0.346212
0.2900,0.397971,0.290198,0.290198,0.124230,0.875770,0.335646
0.3000,0.403573,0.273782,0.273782,0.114500,0.885500,0.326243
0.3100,0.409535,0.258453,0.258453,0.105451,0.894549,0.316909
0.3200,0.414421,0.243409,0.243409,0.097330,0.902670,0.306687
0.3300,0.418867,0.228722,0.228722,0.089799,0.910201,0.295880
0.3400,0.423423,0.214463,0.214463,0.082642,0.917358,0.284717
0.3500,0.427336,0.200791,0.200791,0.076145,0.923855,0.273210
0.3600,0.432274,0.188457,0.188457,0.070042,0.929958,0.262481
0.3700,0.436130,0.176301,0.176301,0.064503,0.935497,0.251098
0.3800,0.440610,0.164768,0.164768,0.059197,0.940803,0.239845
0.3900,0.444313,0.154020,0.154020,0.054511,0.945489,0.228746
0.4000,0.448894,0.144270,0.144270,0.050123,0.949877,0.218361
0.4100,0.452230,0.133897,0.133897,0.045896,0.954104,0.206618
0.4200,0.454321,0.124450,0.124450,0.042299,0.957701,0.195380
0.4300,0.458831,0.115716,0.115716,0.038622,0.961378,0.184820
0.4400,0.462160,0.107000,0.107000,0.035238,0.964762,0.173768
0.4500,0.463296,0.098658,0.098658,0.032343,0.967657,0.162675
0.4600,0.464674,0.089799,0.089799,0.029276,0.970724,0.150512
0.4700,0.465514,0.082527,0.082527,0.026814,0.973186,0.140199
0.4800,0.468359,0.075985,0.075985,0.024408,0.975592,0.130757
0.4900,0.467576,0.069658,0.069658,0.022446,0.977554,0.121252
0.5000,0.469460,0.064114,0.064114,0.020504,0.979496,0.112821
0.5100,0.468549,0.058553,0.058553,0.018794,0.981206,0.104097
0.5200,0.464263,0.052796,0.052796,0.017241,0.982759,0.094810
0.5300,0.458521,0.047288,0.047288,0.015803,0.984197,0.085734
0.5400,0.455184,0.042725,0.042725,0.014471,0.985529,0.078118
0.5500,0.454225,0.039000,0.039000,0.013261,0.986739,0.071832
0.5600,0.451613,0.035684,0.035684,0.012262,0.987738,0.066142
0.5700,0.448437,0.032476,0.032476,0.011304,0.988696,0.060566
0.5800,0.448155,0.029660,0.029660,0.010335,0.989665,0.055637
0.5900,0.445165,0.026915,0.026915,0.009493,0.990507,0.050761
0.6000,0.440700,0.024705,0.024705,0.008873,0.991127,0.046786
0.6100,0.435572,0.022655,0.022655,0.008308,0.991692,0.043069
0.6200,0.431614,0.020587,0.020587,0.007672,0.992328,0.039300
0.6300,0.423860,0.018555,0.018555,0.007137,0.992863,0.035554
0.6400,0.416776,0.017004,0.017004,0.006734,0.993266,0.032676
0.6500,0.411158,0.015632,0.015632,0.006335,0.993665,0.030119
0.6600,0.404702,0.014420,0.014420,0.006002,0.993998,0.027848
0.6700,0.400432,0.013226,0.013226,0.005604,0.994396,0.025606
0.6800,0.396292,0.012192,0.012192,0.005256,0.994744,0.023656
0.6900,0.389299,0.011283,0.011283,0.005009,0.994991,0.021930
0.7000,0.386261,0.010623,0.010623,0.004777,0.995223,0.020678
0.7100,0.379310,0.009803,0.009803,0.004540,0.995460,0.019113
0.7200,0.372721,0.009108,0.009108,0.004338,0.995662,0.017782
0.7300,0.368984,0.008609,0.008609,0.004166,0.995834,0.016826
0.7400,0.366883,0.008057,0.008057,0.003934,0.996066,0.015767
0.7500,0.361848,0.007540,0.007540,0.003763,0.996237,0.014772
0.7600,0.357658,0.007076,0.007076,0.003596,0.996404,0.013878
0.7700,0.340755,0.006274,0.006274,0.003435,0.996565,0.012321
0.7800,0.340469,0.005953,0.005953,0.003264,0.996736,0.011702
0.7900,0.338692,0.005632,0.005632,0.003112,0.996888,0.011081
0.8000,0.327273,0.005133,0.005133,0.002986,0.997014,0.010108
0.8100,0.318510,0.004723,0.004723,0.002860,0.997140,0.009309
0.8200,0.306202,0.004224,0.004224,0.002709,0.997291,0.008334
0.8300,0.297931,0.003850,0.003850,0.002567,0.997433,0.007602
0.8400,0.303338,0.003725,0.003725,0.002421,0.997579,0.007360
0.8500,0.304482,0.003511,0.003511,0.002270,0.997730,0.006943
0.8600,0.310569,0.003404,0.003404,0.002139,0.997861,0.006735
0.8700,0.301724,0.003119,0.003119,0.002043,0.997957,0.006175
0.8800,0.289668,0.002798,0.002798,0.001942,0.998058,0.005543
0.8900,0.273437,0.002495,0.002495,0.001876,0.998124,0.004946
0.9000,0.269710,0.002317,0.002317,0.001776,0.998224,0.004595
0.9100,0.263043,0.002157,0.002157,0.001710,0.998290,0.004278
0.9200,0.264368,0.002050,0.002050,0.001614,0.998386,0.004068
