,DRF [DRF_1],DeepLearning [DeepLearning_grid_1],GBM [GBM_grid_1],GLM [GLM_1],XGBoost [XGBoost_grid_1],XRT [XRT_1]
DRF [DRF_1],1.0,0.8369328748492111,0.9384401607616544,0.8845153652916404,0.9065107261407654,0.7783708038276571
DeepLearning [DeepLearning_grid_1],0.8369328748492111,1.0,0.8902139160111923,0.9236041572877648,0.8766361673984672,0.7069403480681464
GBM [GBM_grid_1],0.9384401607616544,0.8902139160111923,1.0,0.9256227015002587,0.9686764862967323,0.7509063529674884
GLM [GLM_1],0.8845153652916404,0.9236041572877648,0.9256227015002587,1.0,0.9000646423975572,0.7270988837347978
XGBoost [XGBoost_grid_1],0.9065107261407654,0.8766361673984672,0.9686764862967323,0.9000646423975572,1.0,0.7162859454305545
XRT [XRT_1],0.7783708038276571,0.7069403480681464,0.7509063529674884,0.7270988837347978,0.7162859454305545,1.0
