column,accepted_missing_pct,thesis_missing_pct,delta_missing_pct
member_id,1.0,1.0,0.0
orig_projected_additional_accrued_interest,0.9961733108447336,0.996344572833424,0.0001712619886904
deferral_term,0.9951709668815116,0.9953980486015483,0.0002270817200369
hardship_amount,0.9951709668815116,0.9953980486015483,0.0002270817200369
hardship_dpd,0.9951709668815116,0.9953980486015483,0.0002270817200369
hardship_end_date,0.9951709668815116,0.9953980486015483,0.0002270817200369
hardship_last_payment_amount,0.9951709668815116,0.9953980486015483,0.0002270817200369
hardship_length,0.9951709668815116,0.9953980486015483,0.0002270817200369
hardship_loan_status,0.9951709668815116,0.9953980486015483,0.0002270817200369
hardship_payoff_balance_amount,0.9951709668815116,0.9953980486015483,0.0002270817200369
hardship_reason,0.9951709668815116,0.9953980486015483,0.0002270817200369
hardship_start_date,0.9951709668815116,0.9953980486015483,0.0002270817200369
hardship_status,0.9951709668815116,0.9953980486015483,0.0002270817200369
hardship_type,0.9951709668815116,0.9953980486015483,0.0002270817200369
payment_plan_start_date,0.9951709668815116,0.9953980486015483,0.0002270817200369
debt_settlement_flag_date,0.9848516013395844,0.984933063821012,8.146248142737456e-05
settlement_amount,0.9848516013395844,0.984933063821012,8.146248142737456e-05
settlement_date,0.9848516013395844,0.984933063821012,8.146248142737456e-05
settlement_percentage,0.9848516013395844,0.984933063821012,8.146248142737456e-05
settlement_status,0.9848516013395844,0.984933063821012,8.146248142737456e-05
settlement_term,0.9848516013395844,0.984933063821012,8.146248142737456e-05
sec_app_mths_since_last_major_derog,0.9841013915595208,0.984221745158804,0.0001203535992834
sec_app_revol_util,0.9530304980623266,0.953196942612692,0.0001664445503652
revol_bal_joint,0.952218360588154,0.9524057966056272,0.0001874360174733
sec_app_chargeoff_within_12_mths,0.9522179182474816,0.9524057966056272,0.0001878783581455
sec_app_collections_12_mths_ex_med,0.9522179182474816,0.9524057966056272,0.0001878783581455
sec_app_earliest_cr_line,0.9522179182474816,0.9524057966056272,0.0001878783581455
sec_app_fico_range_high,0.9522179182474816,0.9524057966056272,0.0001878783581455
sec_app_fico_range_low,0.9522179182474816,0.9524057966056272,0.0001878783581455
sec_app_inq_last_6mths,0.9522179182474816,0.9524057966056272,0.0001878783581455
sec_app_mort_acc,0.9522179182474816,0.9524057966056272,0.0001878783581455
sec_app_num_rev_accts,0.9522179182474816,0.9524057966056272,0.0001878783581455
sec_app_open_acc,0.9522179182474816,0.9524057966056272,0.0001878783581455
sec_app_open_act_il,0.9522179182474816,0.9524057966056272,0.0001878783581455
verification_status_joint,0.9488079140054346,0.9507080400391154,0.0019001260336807
dti_joint,0.9466068268205304,0.9483436301104944,0.0017368032899639
annual_inc_joint,0.9466050574578416,0.9483417294594264,0.0017366720015846
desc,0.9442363231581709,0.940099080940176,-0.0041372422179948
mths_since_last_record,0.8411306935326698,0.8431635006571501,0.0020328071244802
mths_since_recent_bc_dlq,0.7701151103131285,0.7709140516083784,0.0007989412952499
mths_since_last_major_derog,0.7430995960987322,0.7448204882582529,0.0017208921595206
mths_since_recent_revol_delinq,0.6725091022651823,0.6737931578462202,0.0012840555810378
next_pymnt_d,0.595099926969555,0.6043158083801606,0.0092158814106055
mths_since_last_delinq,0.5124671506758302,0.5143166541698859,0.0018495034940557
