column,in_accepted,accepted_missing,accepted_total,accepted_missing_pct,in_thesis,thesis_missing,thesis_total,thesis_missing_pct,delta_missing_pct
num_op_rev_tl,True,70309,2260701,0.03110053032223191,True,70305,2104542,0.03340631833434543,0.0023057880121135216
num_rev_accts,True,70310,2260701,0.031100972662904118,True,70306,2104542,0.03340679349711244,0.0023058208342083206
num_rev_tl_bal_gt_0,True,70309,2260701,0.03110053032223191,True,70305,2104542,0.03340631833434543,0.0023057880121135216
num_sats,True,58623,2260701,0.02593133722681593,True,58619,2104542,0.02785356623911521,0.0019222290122992806
num_tl_120dpd_2m,True,153690,2260701,0.06798333791155929,True,145383,2104542,0.06908058855560972,0.001097250644050432
num_tl_30dpd,True,70309,2260701,0.03110053032223191,True,70305,2104542,0.03340631833434543,0.0023057880121135216
num_tl_90g_dpd_24m,True,70309,2260701,0.03110053032223191,True,70305,2104542,0.03340631833434543,0.0023057880121135216
num_tl_op_past_12m,True,70309,2260701,0.03110053032223191,True,70305,2104542,0.03340631833434543,0.0023057880121135216
open_acc,True,62,2260701,2.7425121676860406e-05,True,58,2104542,2.7559440486338595e-05,1.3431880947818871e-07
open_acc_6m,True,866163,2260701,0.3831391236612007,True,866159,2104542,0.4115665071070095,0.028427383445808807
open_act_il,True,866162,2260701,0.3831386813205285,True,866158,2104542,0.4115660319442425,0.028427350623714043
open_il_12m,True,866162,2260701,0.3831386813205285,True,866158,2104542,0.4115660319442425,0.028427350623714043
open_il_24m,True,866162,2260701,0.3831386813205285,True,866158,2104542,0.4115660319442425,0.028427350623714043
open_rv_12m,True,866162,2260701,0.3831386813205285,True,866158,2104542,0.4115660319442425,0.028427350623714043
open_rv_24m,True,866162,2260701,0.3831386813205285,True,866158,2104542,0.4115660319442425,0.028427350623714043
orig_projected_additional_accrued_interest,True,2252050,2260701,0.9961733108447336,True,2096849,2104542,0.996344572833424,0.00017126198869044096
out_prncp,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
out_prncp_inv,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
payment_plan_start_date,True,2249784,2260701,0.9951709668815115,True,2094857,2104542,0.9953980486015485,0.00022708172003693683
pct_tl_nvr_dlq,True,70464,2260701,0.03116909312642406,True,70460,2104542,0.033479968563231335,0.002310875436807275
percent_bc_gt_75,True,75412,2260701,0.0333577947725064,True,73232,2104542,0.03479711975337152,0.001439324980865117
policy_code,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
pub_rec,True,62,2260701,2.7425121676860406e-05,True,58,2104542,2.7559440486338595e-05,1.3431880947818871e-07
pub_rec_bankruptcies,True,1398,2260701,0.0006183922597459814,True,1394,2104542,0.0006623768972061379,4.398463746015655e-05
purpose,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
pymnt_plan,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
recoveries,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
revol_bal,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
revol_bal_joint,True,2152681,2260701,0.9522183605881539,True,2004378,2104542,0.9524057966056273,0.0001874360174733969
revol_util,True,1835,2260701,0.0008116951335006265,True,1670,2104542,0.0007935218208997492,-1.8173312600877384e-05
sec_app_chargeoff_within_12_mths,True,2152680,2260701,0.9522179182474817,True,2004378,2104542,0.9524057966056273,0.00018787835814559894
sec_app_collections_12_mths_ex_med,True,2152680,2260701,0.9522179182474817,True,2004378,2104542,0.9524057966056273,0.00018787835814559894
sec_app_earliest_cr_line,True,2152680,2260701,0.9522179182474817,True,2004378,2104542,0.9524057966056273,0.00018787835814559894
sec_app_fico_range_high,True,2152680,2260701,0.9522179182474817,True,2004378,2104542,0.9524057966056273,0.00018787835814559894
sec_app_fico_range_low,True,2152680,2260701,0.9522179182474817,True,2004378,2104542,0.9524057966056273,0.00018787835814559894
sec_app_inq_last_6mths,True,2152680,2260701,0.9522179182474817,True,2004378,2104542,0.9524057966056273,0.00018787835814559894
sec_app_mort_acc,True,2152680,2260701,0.9522179182474817,True,2004378,2104542,0.9524057966056273,0.00018787835814559894
sec_app_mths_since_last_major_derog,True,2224759,2260701,0.9841013915595207,True,2071336,2104542,0.9842217451588041,0.00012035359928341816
sec_app_num_rev_accts,True,2152680,2260701,0.9522179182474817,True,2004378,2104542,0.9524057966056273,0.00018787835814559894
sec_app_open_acc,True,2152680,2260701,0.9522179182474817,True,2004378,2104542,0.9524057966056273,0.00018787835814559894
sec_app_open_act_il,True,2152680,2260701,0.9522179182474817,True,2004378,2104542,0.9524057966056273,0.00018787835814559894
sec_app_revol_util,True,2154517,2260701,0.9530304980623266,True,2006043,2104542,0.9531969426126919,0.0001664445503652967
settlement_amount,True,2226455,2260701,0.9848516013395845,True,2072833,2104542,0.9849330638210119,8.146248142737456e-05
settlement_date,True,2226455,2260701,0.9848516013395845,True,2072833,2104542,0.9849330638210119,8.146248142737456e-05
settlement_percentage,True,2226455,2260701,0.9848516013395845,True,2072833,2104542,0.9849330638210119,8.146248142737456e-05
settlement_status,True,2226455,2260701,0.9848516013395845,True,2072833,2104542,0.9849330638210119,8.146248142737456e-05
settlement_term,True,2226455,2260701,0.9848516013395845,True,2072833,2104542,0.9849330638210119,8.146248142737456e-05
sub_grade,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
tax_liens,True,138,2260701,6.104301276462478e-05,True,134,2104542,6.367181077878227e-05,2.6287980141574837e-06
term,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
title,True,23359,2260701,0.010332635762093261,True,23351,2104542,0.01109552577235332,0.0007628900102600589
tot_coll_amt,True,70309,2260701,0.03110053032223191,True,70305,2104542,0.03340631833434543,0.0023057880121135216
tot_cur_bal,True,70309,2260701,0.03110053032223191,True,70305,2104542,0.03340631833434543,0.0023057880121135216
tot_hi_cred_lim,True,70309,2260701,0.03110053032223191,True,70305,2104542,0.03340631833434543,0.0023057880121135216
total_acc,True,62,2260701,2.7425121676860406e-05,True,58,2104542,2.7559440486338595e-05,1.3431880947818871e-07
total_bal_ex_mort,True,50063,2260701,0.022144901072720363,True,50059,2104542,0.023786172953545237,0.0016412718808248745
total_bal_il,True,866162,2260701,0.3831386813205285,True,866158,2104542,0.4115660319442425,0.028427350623714043
total_bc_limit,True,50063,2260701,0.022144901072720363,True,50059,2104542,0.023786172953545237,0.0016412718808248745
total_cu_tl,True,866163,2260701,0.3831391236612007,True,866159,2104542,0.4115665071070095,0.028427383445808807
total_il_high_credit_limit,True,70309,2260701,0.03110053032223191,True,70305,2104542,0.03340631833434543,0.0023057880121135216
total_pymnt,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
total_pymnt_inv,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
total_rec_int,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
total_rec_late_fee,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
total_rec_prncp,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
total_rev_hi_lim,True,70309,2260701,0.03110053032223191,True,70305,2104542,0.03340631833434543,0.0023057880121135216
url,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
verification_status,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
verification_status_joint,True,2144971,2260701,0.9488079140054346,True,2000805,2104542,0.9507080400391154,0.0019001260336807269
zip_code,True,34,2260701,1.5039582855052482e-05,True,30,2104542,1.4254883010175136e-05,-7.846998448773467e-07
