feature,relative_importance
cat__term_ 36 months,8518.5537109375
num__fico_range_low,1636.357421875
num__dti,940.352294921875
num__inq_last_6mths,667.8097534179688
num__income_to_loan_ratio,586.19970703125
num__total_bc_limit,570.4320678710938
num__tot_hi_cred_lim,464.9354248046875
num__loan_amnt,366.4122009277344
num__num_rev_tl_bal_gt_0,365.2041931152344
cat__verification_status_Not Verified,285.1155090332031
num__credit_history_length,281.46490478515625
cat__verification_status_Verified,249.2999267578125
num__mort_acc,245.95709228515625
num__annual_inc,219.2200164794922
num__open_acc,195.38539123535156
cat__purpose_credit_card,184.74293518066406
num__bc_open_to_buy,178.8123016357422
num__revol_util,172.0938720703125
num__total_rev_hi_lim,166.64056396484375
num__bc_util,165.22903442382812
