threshold,precision,recall
,0.19595732734418866,1.0
0.009816467761993408,0.1960674157303371,1.0
0.022549986839294434,0.19617762788083193,1.0
0.027300655841827393,0.19628796400449944,1.0
0.02902919054031372,0.1963984243106359,1.0
0.04301828145980835,0.196509009009009,1.0
0.04890453815460205,0.19661971830985916,1.0
0.06537425518035889,0.19673055242390078,1.0
0.07042258977890015,0.19684151156232374,1.0
0.07097101211547852,0.1969525959367946,1.0
0.07288414239883423,0.19706380575945792,1.0
0.07312041521072388,0.19717514124293786,1.0
0.07725220918655396,0.19728660260033917,1.0
0.07804262638092041,0.19739819004524886,1.0
0.08122676610946655,0.1975099037917374,1.0
0.08402848243713379,0.19762174405436014,1.0
0.08442091941833496,0.19773371104815865,1.0
0.0856175422668457,0.19784580498866214,1.0
0.08652162551879883,0.19795802609188884,1.0
0.08668524026870728,0.19807037457434734,1.0
0.08693850040435791,0.19818285065303803,1.0
0.08908075094223022,0.19829545454545455,1.0
0.08938294649124146,0.198408186469585,1.0
0.09052610397338867,0.19852104664391354,1.0
0.09328889846801758,0.19863403528742174,1.0
0.09434926509857178,0.19874715261958997,1.0
0.09446084499359131,0.19886039886039886,1.0
0.09589898586273193,0.19897377423033066,1.0
0.09607690572738647,0.1990872789503708,1.0
0.09878027439117432,0.19920091324200914,1.0
0.09943675994873047,0.19931467732724156,1.0
0.10059434175491333,0.19942857142857143,1.0
0.1022329330444336,0.19954259576901087,1.0
0.10328876972198486,0.19965675057208238,1.0
0.10451143980026245,0.19977103606182026,1.0
0.10474979877471924,0.19988545246277206,1.0
0.10744655132293701,0.2,1.0
0.11410480737686157,0.20011467889908258,1.0
0.11997848749160767,0.2002294893861159,1.0
0.12179291248321533,0.20034443168771526,1.0
0.12327337265014648,0.20045950603101664,1.0
0.12397193908691406,0.20057471264367815,1.0
0.12410402297973633,0.20069005175388155,1.0
0.1263895034790039,0.2008055235903337,1.0
0.12802815437316895,0.20092112838226828,1.0
0.12846791744232178,0.201036866359447,1.0
0.12876391410827637,0.2011527377521614,1.0
0.1296517252922058,0.20126874279123413,1.0
0.13022470474243164,0.20138488170802077,1.0
0.13223928213119507,0.20150115473441108,1.0
0.13272887468338013,0.20161756210283074,1.0
0.13383150100708008,0.20173410404624278,1.0
0.13389140367507935,0.20185078079814922,1.0
0.13397002220153809,0.2019675925925926,1.0
0.13579881191253662,0.2020845396641575,1.0
0.13593602180480957,0.2022016222479722,1.0
0.13632172346115112,0.20231884057971014,1.0
0.13641303777694702,0.20243619489559164,1.0
0.13883131742477417,0.20255368543238536,1.0
0.1391993761062622,0.20267131242741,1.0
0.1408475637435913,0.20278907611853572,1.0
0.14088523387908936,0.20290697674418604,1.0
0.1411098837852478,0.20302501454333916,1.0
0.14262521266937256,0.2031431897555297,1.0
0.14281481504440308,0.20326150262085033,1.0
0.1430845856666565,0.20337995337995338,1.0
0.14443516731262207,0.20349854227405248,1.0
0.1475592851638794,0.20361726954492415,1.0
0.14868980646133423,0.2037361354349095,1.0
0.14948725700378418,0.2038551401869159,1.0
0.14992457628250122,0.20397428404441847,1.0
0.15008032321929932,0.204093567251462,1.0
0.15045082569122314,0.20421299005266239,1.0
0.15046650171279907,0.20374707259953162,0.997134670487106
0.15194940567016602,0.2038664323374341,0.997134670487106
0.15258067846298218,0.20398593200468934,0.997134670487106
0.15270566940307617,0.20410557184750733,0.997134670487106
0.15501558780670166,0.20422535211267606,0.997134670487106
0.15510284900665283,0.20434527304756311,0.997134670487106
0.15759247541427612,0.2044653349001175,0.997134670487106
0.15766137838363647,0.20458553791887124,0.997134670487106
0.15773534774780273,0.20470588235294118,0.997134670487106
0.15848404169082642,0.20482636845203062,0.997134670487106
0.158527672290802,0.2049469964664311,0.997134670487106
0.16014719009399414,0.20506776664702417,0.997134670487106
0.1604796051979065,0.20518867924528303,0.997134670487106
0.16082894802093506,0.20471976401179942,0.994269340974212
0.16136234998703003,0.20484061393152303,0.994269340974212
0.16417789459228516,0.2049616066154755,0.994269340974212
0.16500645875930786,0.20508274231678486,0.994269340974212
0.16504180431365967,0.205204021289178,0.994269340974212
0.16507601737976074,0.20532544378698225,0.994269340974212
0.1653156280517578,0.2054470100651273,0.994269340974212
0.1655712127685547,0.20556872037914692,0.994269340974212
0.1663573980331421,0.20569057498518079,0.994269340974212
0.16649621725082397,0.20581257413997628,0.994269340974212
0.167005717754364,0.2059347181008902,0.994269340974212
0.16917937994003296,0.20605700712589073,0.994269340974212
0.16980880498886108,0.20617944147355913,0.994269340974212
0.1700407862663269,0.20630202140309156,0.994269340974212
0.17018651962280273,0.206424747174301,0.994269340974212
0.17102974653244019,0.20654761904761904,0.994269340974212
0.1715598702430725,0.20667063728409768,0.994269340974212
0.17303681373596191,0.2067938021454112,0.994269340974212
0.17314136028289795,0.20691711389385808,0.994269340974212
0.17385929822921753,0.20704057279236276,0.994269340974212
0.17388111352920532,0.20656716417910448,0.9914040114613181
0.1760578155517578,0.2066905615292712,0.9914040114613181
0.17610591650009155,0.20681410639569636,0.9914040114613181
0.176477313041687,0.2069377990430622,0.9914040114613181
0.17788124084472656,0.20706163973668462,0.9914040114613181
0.17817848920822144,0.20718562874251498,0.9914040114613181
0.17883634567260742,0.20730976632714201,0.9914040114613181
0.1788446307182312,0.20743405275779375,0.9914040114613181
0.17893099784851074,0.20755848830233953,0.9914040114613181
0.17956143617630005,0.20768307322929172,0.9914040114613181
0.17970764636993408,0.2078078078078078,0.9914040114613181
0.18060868978500366,0.20793269230769232,0.9914040114613181
