threshold,fpr,tpr
,0.0,0.0
inf,0.0006983240223463687,0.0
0.8909417986869812,0.0013966480446927375,0.0
0.8828946352005005,0.0013966480446927375,0.008595988538681949
0.8752351999282837,0.002094972067039106,0.008595988538681949
0.8716076016426086,0.002094972067039106,0.011461318051575931
0.8712689280509949,0.002793296089385475,0.011461318051575931
0.8692079782485962,0.002793296089385475,0.03151862464183381
0.8494448661804199,0.0034916201117318434,0.03151862464183381
0.8493682146072388,0.0034916201117318434,0.03724928366762178
0.8462698459625244,0.004189944134078212,0.03724928366762178
0.8413117527961731,0.004189944134078212,0.05157593123209169
0.8365049958229065,0.004888268156424581,0.05157593123209169
0.8362808227539062,0.004888268156424581,0.05730659025787966
0.833759069442749,0.00558659217877095,0.05730659025787966
0.8313614130020142,0.00558659217877095,0.06303724928366762
0.8283990621566772,0.006284916201117319,0.06303724928366762
0.8229796290397644,0.006284916201117319,0.06876790830945559
0.8205922842025757,0.006983240223463687,0.06876790830945559
0.8180084228515625,0.006983240223463687,0.07736389684813753
0.8166452050209045,0.009078212290502794,0.07736389684813753
0.8162742257118225,0.009078212290502794,0.08595988538681948
0.8114356398582458,0.009776536312849162,0.08595988538681948
0.8094097971916199,0.009776536312849162,0.09169054441260745
0.8078397512435913,0.01047486033519553,0.09169054441260745
0.807730495929718,0.01047486033519553,0.09455587392550144
0.806904137134552,0.013268156424581005,0.09455587392550144
0.8037617802619934,0.013268156424581005,0.10315186246418338
0.7982922196388245,0.013966480446927373,0.10315186246418338
0.7980071306228638,0.013966480446927373,0.11174785100286533
0.7951898574829102,0.014664804469273743,0.11174785100286533
0.794632077217102,0.014664804469273743,0.1174785100286533
0.7903383374214172,0.017458100558659217,0.1174785100286533
0.7877309918403625,0.017458100558659217,0.12607449856733524
0.7865074872970581,0.019553072625698324,0.12607449856733524
0.7843242287635803,0.019553072625698324,0.1318051575931232
0.7793822288513184,0.02094972067039106,0.1318051575931232
0.7766931056976318,0.02094972067039106,0.1346704871060172
0.775865912437439,0.02164804469273743,0.1346704871060172
0.7738505601882935,0.02164804469273743,0.13753581661891118
0.7737430930137634,0.0223463687150838,0.13753581661891118
0.771625280380249,0.0223463687150838,0.14040114613180515
0.771291971206665,0.023743016759776536,0.14040114613180515
0.7711101770401001,0.023743016759776536,0.15759312320916904
0.7668758630752563,0.024441340782122904,0.15759312320916904
0.765109658241272,0.024441340782122904,0.16045845272206305
0.7648109793663025,0.025837988826815643,0.16045845272206305
0.7635416984558105,0.025837988826815643,0.16332378223495703
0.7610517740249634,0.02723463687150838,0.16332378223495703
0.7606074810028076,0.02723463687150838,0.16905444126074498
0.7602291703224182,0.02863128491620112,0.16905444126074498
0.7596984505653381,0.02863128491620112,0.19197707736389685
0.7546710968017578,0.031424581005586594,0.19197707736389685
0.7522130012512207,0.031424581005586594,0.1977077363896848
0.7512702345848083,0.034916201117318434,0.1977077363896848
0.7468759417533875,0.034916201117318434,0.20057306590257878
0.746673583984375,0.0356145251396648,0.20057306590257878
0.7460702657699585,0.0356145251396648,0.21203438395415472
0.7450725436210632,0.036312849162011177,0.21203438395415472
0.7448102235794067,0.036312849162011177,0.2177650429799427
0.7438211441040039,0.03770949720670391,0.2177650429799427
0.7427142858505249,0.03770949720670391,0.22063037249283668
0.7412073612213135,0.03840782122905028,0.22063037249283668
0.7409310936927795,0.03840782122905028,0.22636103151862463
0.7403475046157837,0.04120111731843575,0.22636103151862463
0.7366448640823364,0.04120111731843575,0.2349570200573066
0.7350741028785706,0.0446927374301676,0.2349570200573066
0.7323942184448242,0.0446927374301676,0.24355300859598855
0.7298781871795654,0.04539106145251397,0.24355300859598855
0.7291622757911682,0.04539106145251397,0.24641833810888253
0.7289485335350037,0.0467877094972067,0.24641833810888253
0.7276365756988525,0.0467877094972067,0.2492836676217765
0.7269896864891052,0.04748603351955307,0.2492836676217765
0.7259660959243774,0.04748603351955307,0.25501432664756446
0.7248033881187439,0.04888268156424581,0.25501432664756446
0.7245064973831177,0.04888268156424581,0.25787965616045844
0.7221599817276001,0.04958100558659218,0.25787965616045844
0.721406877040863,0.04958100558659218,0.2607449856733524
0.7212908267974854,0.052374301675977654,0.2607449856733524
0.7187920212745667,0.052374301675977654,0.2636103151862464
0.7185994982719421,0.055865921787709494,0.2636103151862464
0.7155052423477173,0.055865921787709494,0.2664756446991404
0.7147976160049438,0.05656424581005587,0.2664756446991404
0.7142564654350281,0.05656424581005587,0.2693409742120344
0.7138733863830566,0.057960893854748605,0.2693409742120344
0.711672842502594,0.057960893854748605,0.2722063037249284
0.7114455699920654,0.05935754189944134,0.2722063037249284
0.7105118036270142,0.05935754189944134,0.27507163323782235
0.7092828750610352,0.06005586592178771,0.27507163323782235
0.7090871334075928,0.06005586592178771,0.27793696275071633
0.7087005376815796,0.061452513966480445,0.27793696275071633
0.7071402072906494,0.061452513966480445,0.2808022922636103
0.7054826021194458,0.06564245810055866,0.2808022922636103
0.7040377855300903,0.06564245810055866,0.2836676217765043
0.7028646469116211,0.06843575418994413,0.2836676217765043
0.700313150882721,0.06843575418994413,0.28653295128939826
0.699085533618927,0.07192737430167598,0.28653295128939826
0.6969735622406006,0.07192737430167598,0.29512893982808025
0.6941836476325989,0.07262569832402235,0.29512893982808025
0.6933962106704712,0.07262569832402235,0.2979942693409742
0.6928743124008179,0.07402234636871509,0.2979942693409742
0.6920193433761597,0.07402234636871509,0.30659025787965616
0.6905863285064697,0.07472067039106145,0.30659025787965616
0.6896142959594727,0.07472067039106145,0.30945558739255014
