feature,relative_importance
num__int_rate,66.029296875
cat__term_ 36 months,20.85350799560547
num__revol_util,12.64799690246582
cat__home_ownership_MORTGAGE,7.812261581420898
num__loan_amnt,7.578033447265625
cat__verification_status_Not Verified,6.472884178161621
num__total_rev_hi_lim,6.019786357879639
num__mort_acc,5.897686958312988
num__bc_open_to_buy,4.390296936035156
num__fico_range_low,4.326058864593506
num__total_bc_limit,4.050734519958496
num__dti,3.2494215965270996
num__inq_last_6mths,3.053722858428955
num__tot_cur_bal,2.4403622150421143
num__total_bal_ex_mort,2.407830238342285
num__num_rev_accts,2.3273346424102783
num__num_actv_rev_tl,2.275876998901367
num__bc_util,2.1587624549865723
num__credit_history_length,1.8855788707733154
num__open_acc,1.8353034257888794
