feature,relative_importance
num__dti,0.16134989261627197
cat__grade_A,0.15863920748233795
cat__term_ 60 months,0.1426764875650406
cat__term_ 36 months,0.1424618810415268
cat__sub_grade_A1,0.11223050951957703
num__income_to_loan_ratio,0.10995995253324509
num__total_bc_limit,0.10282646864652634
cat__grade_E,0.09176743030548096
cat__grade_D,0.08826601505279541
cat__sub_grade_A2,0.08241649717092514
cat__sub_grade_A3,0.06850839406251907
cat__grade_F,0.06457463651895523
cat__grade_B,0.0626043751835823
cat__sub_grade_B1,0.059773750603199005
num__inq_last_6mths,0.05960669741034508
num__total_acc,0.05670478194952011
num__num_rev_tl_bal_gt_0,0.05588456615805626
num__mort_acc,0.055027373135089874
num__total_il_high_credit_limit,0.053664471954107285
cat__sub_grade_A4,0.051947373896837234
