,DRF [DRF_1],DeepLearning [DeepLearning_grid_1],GBM [GBM_lr_annealing_selection],GLM [GLM_1],XGBoost [XGBoost_grid_1],XRT [XRT_1]
DRF [DRF_1],1.0,0.6948243391187147,0.876158493751531,0.8146523496607783,0.865199359167784,0.633438229068107
DeepLearning [DeepLearning_grid_1],0.6948243391187147,1.0,0.7466343417297499,0.8089464447118088,0.7368462490050988,0.5184377409114326
GBM [GBM_lr_annealing_selection],0.876158493751531,0.7466343417297499,1.0,0.8978788945696663,0.9240282963637907,0.6503082340578431
GLM [GLM_1],0.8146523496607783,0.8089464447118088,0.8978788945696663,1.0,0.8894930440340544,0.625249347917177
XGBoost [XGBoost_grid_1],0.865199359167784,0.7368462490050988,0.9240282963637907,0.8894930440340544,1.0,0.6190976295841568
XRT [XRT_1],0.633438229068107,0.5184377409114326,0.6503082340578431,0.625249347917177,0.6190976295841568,1.0
