feature,relative_importance
num__int_rate,0.11673924326896667
cat__term_ 36 months,0.09541842341423035
cat__term_ 60 months,0.09540123492479324
cat__grade_A,0.07664024829864502
cat__grade_D,0.06626284122467041
cat__grade_E,0.05577652156352997
cat__addr_state_OK,0.05100030452013016
num__mort_acc,0.04964718967676163
cat__sub_grade_D4,0.0483037605881691
cat__home_ownership_MORTGAGE,0.047174010425806046
cat__sub_grade_A1,0.0411982499063015
num__fico_range_high,0.03997714817523956
num__fico_range_low,0.039968762546777725
num__fico_avg,0.03995996341109276
cat__sub_grade_D2,0.03947754204273224
cat__sub_grade_C4,0.03700525686144829
cat__sub_grade_E3,0.03687705099582672
cat__home_ownership_RENT,0.03490731120109558
cat__sub_grade_A2,0.034733761101961136
cat__addr_state_LA,0.03267664089798927
