,DRF [DRF_1],DeepLearning [DeepLearning_grid_1],GBM [GBM_grid_1],GLM [GLM_1],XGBoost [XGBoost_grid_1],XRT [XRT_1]
DRF [DRF_1],1.0,0.48152200721512256,0.8110286829250066,0.7663944720247188,0.773714843600683,0.7145755032416656
DeepLearning [DeepLearning_grid_1],0.48152200721512256,1.0,0.4404416743263726,0.7094789295965493,0.5367405381760658,0.423665306740374
GBM [GBM_grid_1],0.8110286829250066,0.4404416743263726,1.0,0.6538814901532505,0.6977467831157085,0.6011232582387073
GLM [GLM_1],0.7663944720247188,0.7094789295965493,0.6538814901532505,1.0,0.8071388095584566,0.6160178198618219
XGBoost [XGBoost_grid_1],0.773714843600683,0.5367405381760658,0.6977467831157085,0.8071388095584566,1.0,0.7045406141736222
XRT [XRT_1],0.7145755032416656,0.423665306740374,0.6011232582387073,0.6160178198618219,0.7045406141736222,1.0
