threshold,precision,recall,tpr,fpr,specificity,f1
0.0000,0.216110,1.000000,1.000000,1.000000,0.000000,0.355412
0.0100,0.216122,1.000000,1.000000,0.999927,0.000073,0.355429
0.0200,0.216608,0.999737,0.999737,0.996807,0.003193,0.356068
0.0300,0.218550,0.999210,0.999210,0.984978,0.015022,0.358655
0.0400,0.221061,0.996841,0.996841,0.968360,0.031640,0.361873
0.0500,0.225127,0.995262,0.995262,0.944412,0.055588,0.367194
0.0600,0.229155,0.988944,0.988944,0.917126,0.082874,0.372091
0.0700,0.235164,0.982627,0.982627,0.881060,0.118940,0.379505
0.0800,0.241729,0.967360,0.967360,0.836575,0.163425,0.386801
0.0900,0.249517,0.952619,0.952619,0.789913,0.210087,0.395454
0.1000,0.258116,0.935509,0.935509,0.741292,0.258708,0.404599
0.1100,0.267221,0.912872,0.912872,0.690131,0.309869,0.413423
0.1200,0.276669,0.886812,0.886812,0.639187,0.360813,0.421758
0.1300,0.288426,0.859963,0.859963,0.584906,0.415094,0.431971
0.1400,0.298826,0.830482,0.830482,0.537228,0.462772,0.439507
0.1500,0.307441,0.793893,0.793893,0.493033,0.506967,0.443236
0.1600,0.318583,0.759937,0.759937,0.448113,0.551887,0.448954
0.1700,0.330155,0.729139,0.729139,0.407837,0.592163,0.454508
0.1800,0.341237,0.697026,0.697026,0.370972,0.629028,0.458171
0.1900,0.353835,0.667807,0.667807,0.336212,0.663788,0.462576
0.2000,0.365784,0.639905,0.639905,0.305878,0.694122,0.465486
0.2100,0.377742,0.612003,0.612003,0.277939,0.722061,0.467149
0.2200,0.388404,0.585417,0.585417,0.254136,0.745864,0.466982
0.2300,0.398150,0.555146,0.555146,0.231350,0.768650,0.463720
0.2400,0.407812,0.530403,0.530403,0.212337,0.787663,0.461098
0.2500,0.418478,0.506712,0.506712,0.194122,0.805878,0.458388
0.2600,0.426815,0.484338,0.484338,0.179318,0.820682,0.453761
0.2700,0.438045,0.462490,0.462490,0.163570,0.836430,0.449936
0.2800,0.448028,0.442485,0.442485,0.150290,0.849710,0.445239
0.2900,0.457763,0.422216,0.422216,0.137881,0.862119,0.439272
0.3000,0.464394,0.401685,0.401685,0.127721,0.872279,0.430769
0.3100,0.469731,0.381943,0.381943,0.118868,0.881132,0.421312
0.3200,0.480682,0.363517,0.363517,0.108273,0.891727,0.413969
0.3300,0.490896,0.347723,0.347723,0.099419,0.900581,0.407088
0.3400,0.495246,0.329034,0.329034,0.092453,0.907547,0.395382
0.3500,0.501686,0.313240,0.313240,0.085776,0.914224,0.385675
0.3600,0.509156,0.300079,0.300079,0.079753,0.920247,0.377608
0.3700,0.518607,0.286128,0.286128,0.073222,0.926778,0.368787
0.3800,0.530915,0.273493,0.273493,0.066618,0.933382,0.361015
0.3900,0.543716,0.261911,0.261911,0.060595,0.939405,0.353526
0.4000,0.556925,0.249803,0.249803,0.054790,0.945210,0.344903
0.4100,0.564516,0.239537,0.239537,0.050943,0.949057,0.336352
0.4200,0.568182,0.223743,0.223743,0.046880,0.953120,0.321058
0.4300,0.571632,0.211108,0.211108,0.043614,0.956386,0.308343
0.4400,0.581555,0.200842,0.200842,0.039840,0.960160,0.298572
0.4500,0.590057,0.190576,0.190576,0.036502,0.963498,0.288102
0.4600,0.601399,0.181100,0.181100,0.033091,0.966909,0.278373
0.4700,0.612476,0.170571,0.170571,0.029753,0.970247,0.266831
0.4800,0.618126,0.159779,0.159779,0.027213,0.972787,0.253922
0.4900,0.623632,0.150039,0.150039,0.024964,0.975036,0.241884
0.5000,0.622754,0.136878,0.136878,0.022859,0.977141,0.224428
0.5100,0.615686,0.123980,0.123980,0.021335,0.978665,0.206398
0.5200,0.621583,0.113714,0.113714,0.019086,0.980914,0.192256
0.5300,0.626959,0.105291,0.105291,0.017271,0.982729,0.180302
0.5400,0.626917,0.096868,0.096868,0.015893,0.984107,0.167807
0.5500,0.634100,0.087128,0.087128,0.013861,0.986139,0.153205
0.5600,0.642857,0.078178,0.078178,0.011974,0.988026,0.139404
0.5700,0.658768,0.073177,0.073177,0.010450,0.989550,0.131722
0.5800,0.664865,0.064754,0.064754,0.008999,0.991001,0.118014
0.5900,0.666667,0.056331,0.056331,0.007765,0.992235,0.103883
0.6000,0.677778,0.048171,0.048171,0.006313,0.993687,0.089948
0.6100,0.677824,0.042643,0.042643,0.005588,0.994412,0.080238
0.6200,0.691589,0.038958,0.038958,0.004790,0.995210,0.073760
0.6300,0.705882,0.034746,0.034746,0.003991,0.996009,0.066232
0.6400,0.743421,0.029745,0.029745,0.002830,0.997170,0.057201
0.6500,0.719697,0.025007,0.025007,0.002685,0.997315,0.048334
0.6600,0.719626,0.020268,0.020268,0.002177,0.997823,0.039427
0.6700,0.741573,0.017373,0.017373,0.001669,0.998331,0.033951
0.6800,0.783784,0.015267,0.015267,0.001161,0.998839,0.029951
0.6900,0.796610,0.012372,0.012372,0.000871,0.999129,0.024365
0.7000,0.782609,0.009476,0.009476,0.000726,0.999274,0.018726
0.7100,0.789474,0.007897,0.007897,0.000581,0.999419,0.015637
0.7200,0.800000,0.006317,0.006317,0.000435,0.999565,0.012536
0.7300,0.818182,0.004738,0.004738,0.000290,0.999710,0.009422
0.7400,0.857143,0.003159,0.003159,0.000145,0.999855,0.006294
0.7500,0.846154,0.002895,0.002895,0.000145,0.999855,0.005771
0.7600,0.916667,0.002895,0.002895,0.000073,0.999927,0.005773
0.7700,1.000000,0.002106,0.002106,0.000000,1.000000,0.004203
0.7800,1.000000,0.002106,0.002106,0.000000,1.000000,0.004203
0.7900,1.000000,0.001316,0.001316,0.000000,1.000000,0.002629
0.8000,1.000000,0.001053,0.001053,0.000000,1.000000,0.002104
0.8100,1.000000,0.000263,0.000263,0.000000,1.000000,0.000526
0.8200,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.8300,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.8400,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.8500,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.8600,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.8700,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.8800,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.8900,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9100,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9200,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9300,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9400,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9500,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9600,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9700,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9800,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.9900,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
1.0000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
