,DRF [DRF_1],DeepLearning [DeepLearning_grid_3],GBM [GBM_grid_1],GLM [GLM_1],XGBoost [XGBoost_grid_1],XRT [XRT_1]
DRF [DRF_1],1.0,0.8681688448518338,0.902525240192385,0.8769258332727108,0.8835578150431195,0.7649160759928426
DeepLearning [DeepLearning_grid_3],0.8681688448518338,1.0,0.9382903867080702,0.9803196648531574,0.9210115157407182,0.7791451369022608
GBM [GBM_grid_1],0.902525240192385,0.9382903867080702,1.0,0.9437065719957158,0.957257680342349,0.7877085788164719
GLM [GLM_1],0.8769258332727108,0.9803196648531574,0.9437065719957158,1.0,0.9317194887567849,0.7870350958736575
XGBoost [XGBoost_grid_1],0.8835578150431195,0.9210115157407182,0.957257680342349,0.9317194887567849,1.0,0.768394240326666
XRT [XRT_1],0.7649160759928426,0.7791451369022608,0.7877085788164719,0.7870350958736575,0.768394240326666,1.0
