epoch,loss,val_loss
1,0.6636327053886868,0.6109375048087464
2,0.6224803361451635,0.5923058004209492
3,0.599432580356631,0.5843014046517445
4,0.5799178238503127,0.5697205756676492
5,0.5597963964184596,0.5493929007754241
6,0.5404855575808458,0.5398845949278569
7,0.52864910549093,0.5248481866151832
8,0.503873338396885,0.50221957351092
9,0.4888237134704449,0.5004765725477437
10,0.47547911716949254,0.4759046478577919
11,0.45023500866603156,0.4602336503607369
12,0.43503628114499043,0.44668756911302204
13,0.4120596553044396,0.43503590769939615
14,0.3915789200375412,0.4211252301452577
15,0.38195016964964285,0.4218902462107484
16,0.36956457582918856,0.4179202175585539
17,0.35810479847891247,0.3981637402146058
18,0.3484640412526829,0.4087139860060854
19,0.32662422599614915,0.3863971852836948
20,0.32833740943457373,0.39045306250834744
21,0.31292460558404367,0.36867033675655925
22,0.30868876488029395,0.3709996365305138
23,0.30498023195111934,0.3660516697740327
24,0.2908835387031906,0.35129537898278784
25,0.29066779827750633,0.3537013137723589
26,0.27135206541387646,0.3432288690139768
27,0.26184911961379986,0.3412424421703821
28,0.257869314764315,0.32365734424220444
29,0.2483296994212499,0.3249581370905488
30,0.25451204720401255,0.3153852286206294
