threshold,fpr,tpr
,0.0,0.0
inf,5.044059862902453e-06,0.0
0.9999999999999178,2.017623945160981e-05,0.0
0.999999999764992,2.017623945160981e-05,3.564871753738659e-05
0.9999999996982032,8.57490176693417e-05,3.564871753738659e-05
0.999999998378161,8.57490176693417e-05,8.912179384346648e-05
0.9999999982459498,0.00011096931698385396,8.912179384346648e-05
0.999999997584086,0.00011096931698385396,0.00012477051138085307
0.9999999970811384,0.00012610149657256133,0.00012477051138085307
0.9999999952478308,0.00012610149657256133,0.00014259487014954637
0.9999999812954492,0.00015132179588707358,0.00014259487014954637
0.9999997079640568,0.00015132179588707358,0.00016041922891823967
0.9999994653650782,0.00015636585574997603,0.00016041922891823967
0.9999992394809548,0.00015636585574997603,0.00017824358768693297
0.9999988261937958,0.00020176239451609812,0.00017824358768693297
0.999984012395319,0.00020176239451609812,0.00019606794645562627
0.9999773944470528,0.00020680645437900057,0.00019606794645562627
0.9999624844173371,0.00020680645437900057,0.00021389230522431956
0.999948763984936,0.00021185051424190302,0.00021389230522431956
0.9999172192835244,0.00021185051424190302,0.00023171666399301286
0.9999118524138996,0.00022193863396770792,0.00023171666399301286
0.9999092431808296,0.00022193863396770792,0.00024954102276170614
0.9998885044722337,0.0002471589332822202,0.00024954102276170614
0.9997779534508804,0.0002471589332822202,0.00026736538153039944
0.9997018922989024,0.00025220299314512265,0.00026736538153039944
0.9996965497623116,0.00025220299314512265,0.00030301409906778603
0.999597314074722,0.00026733517273383,0.00030301409906778603
0.9995656981426236,0.00026733517273383,0.00032083845783647933
0.999459958161504,0.00027237923259673246,0.00032083845783647933
0.9994322207095632,0.00027237923259673246,0.00033866281660517263
0.999407457658628,0.0002975995319112447,0.00033866281660517263
0.9990202092118026,0.0002975995319112447,0.00037431153414255923
0.998990900232866,0.0003076876516370496,0.00037431153414255923
0.9989478155761492,0.0003076876516370496,0.00039213589291125253
0.9988819348951224,0.0003177757713628545,0.00039213589291125253
0.9987569696263152,0.0003177757713628545,0.00040996025167994583
0.998714187404337,0.0003429960706773668,0.00040996025167994583
0.998386459694642,0.0003429960706773668,0.00044560896921733243
0.9980226841814244,0.0003480401305402693,0.00044560896921733243
0.9980033364508132,0.0003480401305402693,0.000481257686754719
0.9979193137535114,0.00036317231012897663,0.000481257686754719
0.997820385940657,0.00036317231012897663,0.0005169064042921056
0.9971854771602612,0.00041361290875800114,0.0005169064042921056
0.9956588708792496,0.00041361290875800114,0.0005347307630607989
0.9956075105421328,0.00042370102848380604,0.0005347307630607989
0.995451793456871,0.00042370102848380604,0.0005525551218294922
0.9951527992941316,0.00043378914820961094,0.0005525551218294922
0.9946265225622726,0.00043378914820961094,0.0005882038393668788
0.9938345059356484,0.0004489213277983183,0.0005882038393668788
0.9932623875254952,0.0004489213277983183,0.0006060281981355721
0.9932160426888722,0.00047918568697573305,0.0006060281981355721
0.9926592685917608,0.00047918568697573305,0.000659501274441652
0.9917286963590634,0.0005044059862902453,0.000659501274441652
0.9903914050353736,0.0005044059862902453,0.0006773256332103453
0.9902932112728078,0.0005094500461531478,0.0006773256332103453
0.9902159323903668,0.0005094500461531478,0.0007129743507477319
0.9898484403877484,0.0005296262856047576,0.0007129743507477319
0.9890891906664492,0.0005296262856047576,0.0007307987095164252
0.988679254151887,0.00053467034546766,0.0007307987095164252
0.9885279978164648,0.00053467034546766,0.0007486230682851185
0.9885271876250372,0.0005548465849192698,0.0007486230682851185
0.9879028341910076,0.0005548465849192698,0.0008199205033598917
0.9868905621852896,0.0005598906447821723,0.0008199205033598917
0.9866841479095464,0.0005598906447821723,0.0008555692208972783
0.986379525078944,0.0005800668842337821,0.0008555692208972783
0.986187432012862,0.0005800668842337821,0.0008733935796659716
0.985760964735386,0.000590155003959587,0.0008733935796659716
0.9856679352529218,0.000590155003959587,0.0008912179384346649
0.985498115675306,0.0005951990638224894,0.0008912179384346649
0.9854231929180736,0.0005951990638224894,0.0009090422972033582
0.9853899128750834,0.0006103312434111968,0.0009090422972033582
0.9848264930170186,0.0006103312434111968,0.0009268666559720515
0.9845202395572156,0.0006405956025886115,0.0009268666559720515
0.9833784748276172,0.0006405956025886115,0.000962515373509438
0.9829499291360272,0.0006506837223144164,0.000962515373509438
0.9824936804149812,0.0006506837223144164,0.0009803397322781314
0.9824389264989198,0.0006708599617660262,0.0009803397322781314
0.9810587861380686,0.0006708599617660262,0.001015988449815518
0.9806426867026844,0.0006759040216289286,0.001015988449815518
0.980377582629512,0.0006759040216289286,0.0010516371673529046
0.980181897210828,0.0007162565005321484,0.0010516371673529046
0.9794375962766142,0.0007162565005321484,0.0010872858848902912
0.9789641039220194,0.0007313886801208557,0.0010872858848902912
0.9781029505321192,0.0007313886801208557,0.0011051102436589843
0.9778039677092902,0.0007364327399837582,0.0011051102436589843
0.9776346931698208,0.0007364327399837582,0.0011229346024276777
0.9772612922843124,0.0007767852188869778,0.0011229346024276777
0.9757505926653668,0.0007767852188869778,0.001140758961196371
0.97560169221113,0.00080200551820149,0.001140758961196371
0.9745664792396171,0.00080200551820149,0.0011764076787337575
0.9745082593220672,0.0008120936379272949,0.0011764076787337575
0.973946194519573,0.0008120936379272949,0.001194232037502451
0.9738949506869572,0.0008221817576530998,0.001194232037502451
