,DRF [DRF_1],DeepLearning [DeepLearning_1],GBM [GBM_grid_1],GLM [GLM_1],XGBoost [XGBoost_grid_1],XRT [XRT_1]
DRF [DRF_1],1.0,0.36553272894116035,0.6772214570769222,0.6401998263914136,0.6240379220352313,0.49725242773885975
DeepLearning [DeepLearning_1],0.36553272894116035,1.0,0.4056336702976343,0.5680581009334718,0.37698173806265145,0.2915708587934838
GBM [GBM_grid_1],0.6772214570769222,0.4056336702976343,1.0,0.6761424503061519,0.890330087718518,0.4723177611574117
GLM [GLM_1],0.6401998263914136,0.5680581009334718,0.6761424503061519,1.0,0.6498418316668293,0.47282685138945557
XGBoost [XGBoost_grid_1],0.6240379220352313,0.37698173806265145,0.890330087718518,0.6498418316668293,1.0,0.4556773956210046
XRT [XRT_1],0.49725242773885975,0.2915708587934838,0.4723177611574117,0.47282685138945557,0.4556773956210046,1.0
