model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
DeepLearning_grid_1_AutoML_1_20250929_75919_model_5,0.9040737175423018,0.7261984422603834,0.4620118532201312,0.4860767229046621,0.3852122029556186,0.1483884413059207,46371,0.001945,DeepLearning
DeepLearning_grid_3_AutoML_1_20250929_75919_model_194,0.9040369168987078,0.7254782839169374,0.4618139695824174,0.4974960561895311,0.3847836527625501,0.1480584594332907,34591,0.001947,DeepLearning
DeepLearning_grid_2_AutoML_1_20250929_75919_model_72,0.9040257266901944,0.7235185265129165,0.4724628382903394,0.5,0.3839993287318192,0.1474554844664878,61478,0.002861,DeepLearning
DeepLearning_grid_3_AutoML_1_20250929_75919_model_198,0.9040192764148272,0.724738237878949,0.4597162686211881,0.4982365289394343,0.3833225019528977,0.1469361405034292,29545,0.001985,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_6,0.9040030413389092,0.7265528694422803,0.4600031350094385,0.479066809514878,0.3826990845880494,0.146458589344531,38202,0.001015,DeepLearning
DeepLearning_grid_3_AutoML_1_20250929_75919_model_23,0.9040017234137224,0.724552120397,0.4745988904437797,0.4992761970704697,0.3915402685578928,0.1533037819023868,28346,0.001204,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_36,0.90398790735755,0.7258548915879615,0.4589884324165647,0.4986290430506087,0.3832036077670952,0.1468450050057177,39382,0.001334,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_56,0.9039862274421464,0.7252318260338705,0.4668024082487912,0.4746794749470449,0.3836183718095235,0.1471630551897898,34342,0.001912,DeepLearning
DeepLearning_grid_3_AutoML_1_20250929_75919_model_73,0.9039574576358524,0.7249817919978611,0.4671557548148333,0.4970677100305665,0.3887974296284196,0.1511634412856659,41707,0.003739,DeepLearning
DeepLearning_grid_3_AutoML_1_20250929_75919_model_53,0.903951309878539,0.7236812686744635,0.4619746110411386,0.5,0.3853611112616728,0.1485031860728313,29784,0.002046,DeepLearning
DeepLearning_grid_3_AutoML_1_20250929_75919_model_69,0.9039510051959764,0.7248890740008522,0.4675869707184779,0.4981679418708651,0.3885260213665625,0.1509524692789305,33794,0.001184,DeepLearning
DeepLearning_grid_2_AutoML_1_20250929_75919_model_16,0.9039096802075436,0.7261316177717274,0.4842194414713526,0.4853411580052593,0.3958211899961789,0.1566744144499912,33126,0.001068,DeepLearning
DeepLearning_grid_3_AutoML_1_20250929_75919_model_4,0.9039008480148046,0.7242534832862317,0.461713549039579,0.4960503581175481,0.3838922950239103,0.147373294178725,61010,0.003784,DeepLearning
DeepLearning_grid_2_AutoML_1_20250929_75919_model_27,0.9038949912498306,0.7234068295983179,0.4608680979453919,0.4999282974226253,0.3851346181966592,0.1483286741334865,27945,0.00109,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_3,0.9038735036488096,0.7256152728485933,0.4616351427311626,0.4710668837259755,0.3842194398765276,0.1476245779790326,46443,0.001952,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_55,0.9038299560533246,0.724378787401169,0.4721967162619893,0.4879483132103596,0.3895222320348528,0.1517275692494137,34042,0.001416,DeepLearning
DeepLearning_grid_3_AutoML_1_20250929_75919_model_81,0.903811557296605,0.7238078851512787,0.4676299633963486,0.4922650759589576,0.3889564519055877,0.1512871214789837,36820,0.003763,DeepLearning
DeepLearning_grid_2_AutoML_1_20250929_75919_model_20,0.9037962068334344,0.7262032202585241,0.4636756268873616,0.498681583400566,0.3843006505226844,0.1476869899921584,34514,0.001668,DeepLearning
DeepLearning_grid_2_AutoML_1_20250929_75919_model_6,0.9037879862860612,0.7241450224440895,0.475339372498383,0.493586608067197,0.3921832372972565,0.1538076916169562,33486,0.001075,DeepLearning
DeepLearning_grid_3_AutoML_1_20250929_75919_model_6,0.9037864496938112,0.7253954777306322,0.4769828985535944,0.4907167511123101,0.3930818014902596,0.1545133026628278,33396,0.001206,DeepLearning
DeepLearning_grid_2_AutoML_1_20250929_75919_model_44,0.9037561223306628,0.7272296385201668,0.4857648455935438,0.4884983329260234,0.3954828854796242,0.1564067127072895,29274,0.001636,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_12,0.9037474949874084,0.7257916062869781,0.4574713460912107,0.4767470492392432,0.3820499312736161,0.1459621499861748,38384,0.000984,DeepLearning
DeepLearning_grid_2_AutoML_1_20250929_75919_model_50,0.9037413827882308,0.7243445240077971,0.4587871329901513,0.4882827175375209,0.3839253685139909,0.1473986885886037,34134,0.001687,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_67,0.9037336485587976,0.7248919138814374,0.464880231063651,0.4874284406630477,0.383464660194085,0.147045145617765,33935,0.001346,DeepLearning
DeepLearning_grid_2_AutoML_1_20250929_75919_model_40,0.9036951637037528,0.7227418649529734,0.4754623902925474,0.5,0.3921740427663328,0.1538004798196894,27784,0.001083,DeepLearning
DeepLearning_grid_3_AutoML_1_20250929_75919_model_92,0.9036908709071224,0.7250056791450822,0.4704032791769494,0.4967561680595948,0.3896056977811773,0.151792599743558,29645,0.002008,DeepLearning
DeepLearning_grid_2_AutoML_1_20250929_75919_model_56,0.9036896656427892,0.7250403101059365,0.4598791892084226,0.4969984998602362,0.3840611885235703,0.1475029965301374,31316,0.002874,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_37,0.90367676947997,0.7233843162321927,0.4608481348867684,0.4823748668115246,0.3838120849216232,0.1473117165318833,32927,0.00097,DeepLearning
DeepLearning_grid_3_AutoML_1_20250929_75919_model_26,0.903670530384031,0.7223486898269402,0.4690816136021121,0.4982748533942689,0.3895150039536929,0.1517219383050453,29123,0.001959,DeepLearning
DeepLearning_grid_1_AutoML_1_20250929_75919_model_79,0.903649761692708,0.725103910843893,0.4668409664059929,0.4959977792857965,0.3867575363394043,0.1495813919153256,33746,0.001387,DeepLearning
DeepLearning_grid_3_AutoML_1_20250929_75919_model_202,0.9036417895346576,0.7240248841782825,0.4717638536103153,0.4872133329309237,0.3904676988931093,0.1524650238788799,28463,0.001182,DeepLearning
