feature,relative_importance
num__int_rate,316674.4375
cat__term_ 60 months,233897.078125
cat__term_ 36 months,163814.640625
cat__grade_A,124350.109375
cat__grade_B,104327.96875
num__fico_avg,103944.5625
num__fico_range_low,103135.1953125
num__dti,92837.3515625
num__loan_amnt,82361.0234375
num__installment,73114.0234375
num__fico_range_high,70151.546875
num__credit_history_length,69237.8203125
num__income_to_loan_ratio,63142.84765625
num__bc_util,56029.4765625
num__total_acc,54018.234375
num__open_acc,52638.8046875
num__revol_util,52265.19140625
num__percent_bc_gt_75,51382.23828125
num__num_actv_rev_tl,51335.0859375
num__num_rev_accts,51082.265625
